dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
United States,gar_sfh_crsp,6,0.008151166687341005,1.1088483436982228,0,-0.003956254816661977,0.020258588191343983,0.2678775168833627,0
Florida,gar_sfh_crsp,6,0.010559289067086437,1.2835727624902298,0,-0.002990053595007751,0.024108631729180617,0.1997174395109349,1
Georgia,gar_sfh_crsp,6,0.010436461616635542,2.066491799686041,1,0.0021183712573843005,0.018754551975886782,0.03915036220018564,2
Ohio,gar_sfh_crsp,6,0.00656313222305217,0.7660750230725095,0,-0.007547416110165425,0.02067368055626976,0.44389064805738476,3
Michigan,gar_sfh_crsp,6,0.00838426844936721,1.0205094654539713,0,-0.005147425846869683,0.021915962745604096,0.3078404719648584,4
Washington,gar_sfh_crsp,6,0.003004295157179527,1.03884418180115,0,-0.001758876419696762,0.007767466734055814,0.29923693134478313,5
Illinois,gar_sfh_crsp,6,0.005090518883503413,1.4818006506160708,0,-0.0005676552830318239,0.010748693050038647,0.1388446381498225,6
Mississippi,gar_sfh_crsp,6,0.00187393663520283,0.4007281551106255,0,-0.005828162151025478,0.009576035421431135,0.6887429079418155,7
California,gar_sfh_crsp,6,-0.0050889982433309534,-0.882014266191232,0,-0.014591998283105343,0.004414001796443433,0.3780727251042668,8
Wisconsin,gar_sfh_crsp,6,0.006087371882802452,1.2696056565499285,0,-0.001809680615341848,0.013984424380946749,0.20464825473096582,9
New Mexico,gar_sfh_crsp,6,0.0012247053443381977,0.552429157284409,0,-0.0024266917044714425,0.0048761023931478365,0.5808312070010309,10
Alabama,gar_sfh_crsp,6,0.0025663685903345237,0.9941191701164155,0,-0.0016855468854302825,0.006818284066099328,0.32050934884756943,11
Missouri,gar_sfh_crsp,6,0.0015840104010302744,0.5265608981348046,0,-0.0033706450983724797,0.006538665900433026,0.5986658333758326,12
Minnesota,gar_sfh_crsp,6,0.0005957149565545994,0.2741277226611635,0,-0.0029835148687858666,0.004174944781895064,0.7840675744268855,13
Nebraska,gar_sfh_crsp,6,0.0007500594226847132,0.2573206427386477,0,-0.0040508673695484575,0.005550986214917883,0.7970070956775421,14
Colorado,gar_sfh_crsp,6,0.001129313247180342,0.2328189075184832,0,-0.006859830131771185,0.009118456626131866,0.8159702824028967,15
North Dakota,gar_sfh_crsp,6,-2.8500584303518582e-05,-0.7507749985257737,0,-9.102476388669556e-05,3.402359527965839e-05,0.45304109851040697,16
Kansas,gar_sfh_crsp,6,-0.0016408680048900686,-0.4947391483605872,0,-0.0071034932762378995,0.0038217572664577606,0.6209399469836709,17
South Dakota,gar_sfh_crsp,6,-0.00013440157492481433,-0.34941368670763584,0,-0.0007679334712994341,0.0004991303214498051,0.7268841484870951,18
Connecticut,gar_sfh_crsp,6,0.0036475018783452304,0.4989824416786216,0,-0.008392160272913368,0.015687164029603823,0.6179489723508658,19
Arkansas,gar_sfh_crsp,6,0.002888750583949041,0.7969760503429959,0,-0.0030811735943109724,0.008858674762209051,0.4257359454845102,20
Rhode Island,gar_sfh_crsp,6,0.001348286206588131,0.3399032387968463,0,-0.005184987132555342,0.007881559545731602,0.7340316536841813,21
Oklahoma,gar_sfh_crsp,6,0.003922930773367154,0.5220621371482572,0,-0.008453416510271615,0.016299278057005918,0.6017926980033552,22
New York,gar_sfh_crsp,6,-0.00016967912719558767,-0.054828188605150485,0,-0.005266842613365822,0.004927484358974646,0.9562910321318423,23
West Virginia,gar_sfh_crsp,6,-0.001361619131798962,-2.000146012469769,1,-0.0024828575862320484,-0.00024038067736587617,0.045871476724693494,24
Idaho,gar_sfh_crsp,6,-0.0010769477288657993,-0.5978701727002466,0,-0.0040437716856411565,0.001889876227909557,0.550120486746696,25
Montana,gar_sfh_crsp,6,-0.0019196058207364367,-1.4623757131866797,0,-0.004081613002222011,0.0002424013607491369,0.1440883692697128,26
Iowa,gar_sfh_crsp,6,-3.4702581903036885e-05,-0.013961787963129328,0,-0.00412848531238863,0.004059080148582554,0.988864456458499,27
Nevada,gar_sfh_crsp,6,-0.0015719178268946664,-1.2125050084321483,0,-0.0037071757295836848,0.0005633400757943511,0.22572935363369862,28
Vermont,gar_sfh_crsp,6,-0.0020906819798147992,-1.8956476410765317,1,-0.003907177792181014,-0.00027418616744858543,0.058419478041138895,29
Wyoming,gar_sfh_crsp,6,-0.0023736117814196003,-3.149651021397824,1,-0.0036148390034466027,-0.0011323845593925986,0.0017044021863246162,30
Virginia,gar_sfh_crsp,6,-0.0017748923710823102,-0.4148042592031286,0,-0.008822356199000812,0.005272571456836189,0.6784126590376278,31
Alaska,gar_sfh_crsp,6,-0.0024752071932935445,-3.5388214981284793,1,-0.0036272190299594326,-0.001323195356627657,0.00042856092939591584,32
Oregon,gar_sfh_crsp,6,-0.00043524581132493856,-0.0492277300406316,0,-0.014997507453447969,0.014127015830798086,0.9607518952266083,33
Massachusetts,gar_sfh_crsp,6,-0.0013580916557986893,-0.3575209367758121,0,-0.007614594425092871,0.00489841111349549,0.7208099299519812,34
Maine,gar_sfh_crsp,6,-0.0024748833956205916,-0.9648036802833662,0,-0.006699816435787195,0.0017500496445460104,0.33497729248980423,35
New Jersey,gar_sfh_crsp,6,-0.0006474188052042178,-0.3008253315854352,0,-0.004192081753740141,0.002897244143331704,0.7636372744270674,36
Texas,gar_sfh_crsp,6,-0.0009108055804497861,-0.19096556352692345,0,-0.008766320610641849,0.006944709449742273,0.8486081040884303,37
Utah,gar_sfh_crsp,6,-0.0026079390373594637,-1.1733956540029804,0,-0.00626857885800261,0.001052700783283682,0.24103742270843287,38
Louisiana,gar_sfh_crsp,6,-0.002438145836883619,-0.5890968534967196,0,-0.009254890330418609,0.004378598656651369,0.5559869060472336,39
South Carolina,gar_sfh_crsp,6,-0.0033347426692922847,-2.56526210798839,1,-0.005475831176015057,-0.0011936541625695131,0.010517596700419185,40
Tennessee,gar_sfh_crsp,6,-0.0022669436556220337,-0.9764358412448486,0,-0.0060907954676868905,0.0015569081564428214,0.3291868091140975,41
Arizona,gar_sfh_crsp,6,-0.004189906941978402,-1.6834495141185215,1,-0.008289193897594579,-9.061998636222725e-05,0.09273524782999187,42
Delaware,gar_sfh_crsp,6,-0.005021866712315687,-3.58389965310051,1,-0.0073297475453831945,-0.002713985879248181,0.0003620583034609215,43
Indiana,gar_sfh_crsp,6,0.00018766165709284237,0.041420930438821765,0,-0.007274415521262393,0.007649738835448074,0.9669721721285347,44
Pennsylvania,gar_sfh_crsp,6,-0.0012811440891272701,-0.4606179210567848,0,-0.00586215352339948,0.0032998653451449377,0.6452162226546174,45
North Carolina,gar_sfh_crsp,6,-0.0049396176482556006,-1.3248751119660873,0,-0.011080381995303472,0.0012011466987922681,0.18564613672820962,46
Kentucky,gar_sfh_crsp,6,-0.003896794629665591,-1.7011222720866535,1,-0.007669700995514462,-0.00012388826381672102,0.0893654070218759,47
Maryland,gar_sfh_crsp,6,-0.007138532420762929,-1.6630235232001511,1,-0.014208453792668274,-6.861104885758779e-05,0.09675663974365256,48
United States,gar_sfh_crsp,3,0.008810667124684243,1.241703800048059,0,-0.0028759792801684846,0.020497313529536966,0.21475939302756375,0
Florida,gar_sfh_crsp,3,0.009644416368857402,1.2784543619814592,0,-0.0027803961133506198,0.02206922885106542,0.20151057772868608,1
