dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
Washington,gar_sfh_crsp,6,0.000972259720356675,0.3104388167614171,0,-0.004186084435688334,0.006130603876401682,0.7563199515087833,6
California,gar_sfh_crsp,6,-0.004149235497372776,-0.7924148732890125,0,-0.012773449131374407,0.004474978136628852,0.42838804346836534,7
Alabama,gar_sfh_crsp,6,0.003858163023871484,1.5335456372671485,0,-0.0002855331992144333,0.0080018592469574,0.1255945812909114,8
New Mexico,gar_sfh_crsp,6,1.0884845044720464e-05,0.010010005003427289,0,-0.0017801003512855297,0.00180187004137497,0.9920161651744521,9
South Dakota,gar_sfh_crsp,6,-2.1325716525346724e-06,-4.339421213381903,1,-2.9419952550431388e-06,-1.3231480500262065e-06,1.639691902943774e-05,10
North Dakota,gar_sfh_crsp,6,-4.405420047728146e-06,-3.639082668204956,1,-6.399301999219803e-06,-2.4115380962364893e-06,0.00029380472510531774,11
Utah,gar_sfh_crsp,6,-7.348723975133778e-05,-3.739473494627241,1,-0.00010585446839641513,-4.1120011106260455e-05,0.00019952691981828252,12
Nebraska,gar_sfh_crsp,6,0.0019714012834524974,0.7362160850550037,0,-0.0024389559985979778,0.00638175856550297,0.4618465473645714,13
Ohio,gar_sfh_crsp,6,9.98376223974905e-05,0.03289824432599259,0,-0.0048984995396228435,0.005098174784417823,0.9737651377637939,14
Colorado,gar_sfh_crsp,6,-0.0007791457430714856,-0.18587645173258793,0,-0.007683107365497337,0.006124815879354363,0.8525956522127986,15
South Carolina,gar_sfh_crsp,6,-0.00045293796788493023,-3.0309872638987088,1,-0.000699064626404366,-0.00020681130936549453,0.002527715053711299,16
Idaho,gar_sfh_crsp,6,-0.0009007390362661617,-0.5486823733537708,0,-0.0036045854321499027,0.0018031073596175779,0.5833989002263023,17
Vermont,gar_sfh_crsp,6,-0.0008679893259027176,-1.99647605280187,1,-0.0015840574129559527,-0.00015192123884948268,0.04627009406328897,18
Maryland,gar_sfh_crsp,6,-0.0018244814897269961,-0.500121092030378,0,-0.007833012827807791,0.0041840498483537965,0.617147446708401,19
New Hampshire,gar_sfh_crsp,6,-0.0006705447157632035,-2.5825408796569005,1,-0.0010981908784696303,-0.00024289855305677688,0.010010061076432875,20
Texas,gar_sfh_crsp,6,-0.0011969516764633661,-2.458391970155708,1,-0.0019988688762489623,-0.00039503447667777044,0.014197885003003563,21
Rhode Island,gar_sfh_crsp,6,0.0023714699859139054,0.7127828027485935,0,-0.0031083268758786134,0.007851266847706422,0.47621837718028415,22
Mississippi,gar_sfh_crsp,6,-0.004383732250196206,-0.688890650207785,0,-0.014864612762472418,0.006097148262080001,0.49112099755064476,23
Tennessee,gar_sfh_crsp,6,-0.0009213115990164456,-2.088257660842586,1,-0.0016479636360499546,-0.00019465956198293688,0.03713645559614287,24
New Jersey,gar_sfh_crsp,6,-0.0007663802252519591,-1.8152592225822721,1,-0.0014617401828104224,-7.102026769349615e-05,0.06991310262954209,25
Nevada,gar_sfh_crsp,6,-0.0010971591832691502,-3.0879968979771277,1,-0.0016823490901214802,-0.0005119692764168203,0.002094977728512415,26
Pennsylvania,gar_sfh_crsp,6,-0.0009177177083246601,-2.568165748872187,1,-0.0015062768398743545,-0.00032915857677496586,0.010430735290992477,27
Kansas,gar_sfh_crsp,6,-0.00024749752810992055,-0.10695993961969456,0,-0.004058627470421936,0.0035636324142020934,0.9148514952295645,28
Montana,gar_sfh_crsp,6,-0.002288266013548279,-1.655165441824175,1,-0.0045652980451759756,-1.1233981920583721e-05,0.09834045862532426,29
Oklahoma,gar_sfh_crsp,6,-0.0012976008829392578,-0.8288561097596792,0,-0.0038760943123888206,0.0012808925465103034,0.4074691710227356,30
West Virginia,gar_sfh_crsp,6,-0.0007915668415938101,-0.9815437333676214,0,-0.0021198234296967455,0.0005366897465091248,0.3266647658828341,31
Arkansas,gar_sfh_crsp,6,0.0006862993641043313,0.16936713223061872,0,-0.005987735981224483,0.007360334709433143,0.8655569460061316,32
Iowa,gar_sfh_crsp,6,-9.47240194510313e-05,-0.030843680656994967,0,-0.005152946881626655,0.004963498842724591,0.9754030218178211,33
New York,gar_sfh_crsp,6,-0.0019110328436436031,-2.5618660070373074,1,-0.0031396477487841776,-0.000682417938503029,0.010620007584211777,34
North Carolina,gar_sfh_crsp,6,-0.0018643255861909823,-2.8436973791006834,1,-0.0029441233457480013,-0.0007845278266339639,0.004589776099052534,35
Maine,gar_sfh_crsp,6,-0.0038978673508513937,-1.1594414514376015,0,-0.009434966145922524,0.0016392314442197332,0.2466727572290932,36
Oregon,gar_sfh_crsp,6,-0.0017176289079833978,-4.668573181239278,1,-0.002323596237077964,-0.0011116615788888322,3.6376805125915013e-06,37
